股票,时间窗口,交易日数,总收益率%,年化%,基准%,超额%,最大回撤%,基准回撤%,夏普,基准夏普,胜率%,交易次数
宁德时代,全周期,242,0.12326505697957124,0.12836192212504205,45.669600162910214,-45.546335105930645,33.61287155232071,18.453981132997697,0.09676080819559568,1.1605798374740905,25.0,8
宁德时代,近3个月,78,-13.570138849233338,-37.57257762521435,-2.7701002419421417,-10.800038607291196,20.41757804334091,17.391304347826075,-1.4346711650494355,-0.09148975186544545,25.0,4
宁德时代,近6个月,141,-22.69905947169828,-36.881011746850845,1.5066538533990759,-24.205713325097356,25.53025464983616,17.391304347826086,-1.7754911659956325,0.19290170370559392,16.666666666666664,6
宁德时代,近12个月,242,0.12326505697957124,0.12836192212504205,45.669600162910214,-45.546335105930645,33.61287155232071,18.453981132997697,0.09676080819559568,1.1605798374740905,25.0,8
中芯国际,全周期,237,69.73589424026261,75.51584592509943,75.95513682340777,-6.219242583145168,23.922302371434302,34.50367515878112,1.366173047611257,1.33246641148203,50.0,6
中芯国际,近3个月,78,46.433424130643886,242.88249917070348,46.8691535821026,-0.43572945145871067,15.10256410256411,21.846153846153836,2.429451316417771,2.2405338529209984,100.0,1
中芯国际,近6个月,141,36.077558385754436,73.42344213109544,35.931538799491804,0.14601958626263567,15.10256410256411,30.385315533980584,1.4030946255152383,1.2599328244799028,50.0,4
中芯国际,近12个月,237,69.73589424026261,75.51584592509943,75.95513682340777,-6.219242583145168,23.922302371434302,34.50367515878112,1.366173047611257,1.33246641148203,50.0,6
