股票,短均线,长均线,交易日数,总收益率%,年化收益率%,基准收益率%,超额收益%,最大回撤%,基准回撤%,夏普,基准夏普,胜率%,交易次数,总成本(元)
宁德时代,5,10,242,19.904305094187926,20.807086853481294,45.669600162910214,-25.765295068722295,15.61859288515084,18.453981132997697,0.6679927093007326,1.1605798374740905,38.46153846153847,13,1296.0246688251104
宁德时代,5,15,242,0.12326505697957124,0.12836192212504205,45.669600162910214,-45.546335105930645,33.61287155232071,18.453981132997697,0.09676080819559568,1.1605798374740905,25.0,8,743.9156605026848
宁德时代,5,20,242,5.159069246117731,5.377888244174822,45.669600162910214,-40.51053091679249,27.6266443760111,18.453981132997697,0.2567596091861406,1.1605798374740905,28.57142857142857,7,655.7930661595052
宁德时代,10,20,242,9.563145443504496,9.977418303007202,45.669600162910214,-36.106454719405725,25.394142915744833,18.453981132997697,0.3956987086641241,1.1605798374740905,16.666666666666664,6,570.7161684914128
宁德时代,10,30,242,26.63696374521829,27.878792288328658,45.669600162910214,-19.03263641769193,22.059872510908395,18.453981132997697,0.8627095798799159,1.1605798374740905,50.0,4,393.7791200004166
宁德时代,20,60,242,-0.7235873067062304,-0.753374699700593,45.669600162910214,-46.39318746961645,14.560869565217393,18.453981132997697,-0.05213865402692794,1.1605798374740905,0.0,1,79.710485420775
中芯国际,5,10,237,57.014913199085356,61.56311816245632,75.95513682340777,-18.940223624322417,26.451285979474836,34.50367515878112,1.2141322001142276,1.33246641148203,50.0,10,1032.478472025499
中芯国际,5,15,237,69.73589424026261,75.51584592509943,75.95513682340777,-6.219242583145168,23.922302371434302,34.50367515878112,1.366173047611257,1.33246641148203,50.0,6,662.8001541010225
中芯国际,5,20,237,52.17817954138029,56.27649946450648,75.95513682340777,-23.77695728202749,24.663801228243177,34.50367515878112,1.1153194113681888,1.33246641148203,60.0,5,545.4694190267157
中芯国际,10,20,237,64.6131702286572,69.88884693731474,75.95513682340777,-11.341966594750573,21.846153846153847,34.50367515878112,1.3398102913985828,1.33246641148203,100.0,3,372.47062552367424
中芯国际,10,30,237,37.535015141277086,40.3374606076597,75.95513682340777,-38.42012168213069,21.846153846153847,34.50367515878112,0.9071395326208622,1.33246641148203,66.66666666666666,3,320.4779643219528
中芯国际,20,60,237,9.840295430586643,10.494725229180514,75.95513682340777,-66.11484139282113,21.846153846153836,34.50367515878112,0.39670306376167497,1.33246641148203,0.0,1,111.31317830062991
